AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,COMP_CODE,LIGHTACTV,LIGHTINTNS
2A6E79FE-8D6E-4B53-AE77-5AC1300B5D06,27-Sep,1325,300,GRAVE,,
2A6E79FE-8D6E-4B53-AE77-5AC1300B5D06,18/36,820,300,GRAVE,,
2FCE989C-E4FA-469E-B292-276FB855191E,23-May,3934,75,GRAVE,2,LIM
EDB97F34-CED9-4776-A5B2-AC40770BB43A,NE/SW,10600,300,WATER,,
E9437172-BF19-4102-80B4-FBCB363C15B8,19-Jan,5002,100,GRAVE,2,LIM
E9437172-BF19-4102-80B4-FBCB363C15B8,27-Sep,2505,60,GRAVE,2,LIM
C758F1C5-117A-4398-A013-6462CBC2CEDE,N/S,2600,300,WATER,,
5E741FE5-4B25-4825-802B-784C4C991686,NE/SW,3000,300,WATER,,
C6ED3B28-0D5A-42D2-B3EC-4F17BE9A60FE,01L/19R,6400,150,ASPH,2,LIH
C6ED3B28-0D5A-42D2-B3EC-4F17BE9A60FE,01R/19L,4000,75,ASPH,2,LIH
C6ED3B28-0D5A-42D2-B3EC-4F17BE9A60FE,30-Dec,1858,75,GRAVE,2,LIM
F796B7A6-142D-4C5A-BA18-5BE87E34FE88,09W/27W,3400,300,WATER,,
E733F91E-4E75-4943-87C2-12BCDC2B4917,21-Mar,675,300,GRAVE,,
1A25100F-C363-4F54-B458-AB0DFE81262E,11W/29W,3800,300,WATER,,
9E7FD8B5-3676-4326-AE61-BDD7F5B14A8D,01W/19W,5500,300,WATER,,
7DF95930-914D-4B4D-963E-45CB3D6BCBCA,18W/36W,1150,300,WATER,,
6438BE42-44A0-473B-A7CE-6DF1A2BB8692,03W/21W,5000,300,WATER,,
CE1F9910-0C5F-4654-B625-5829CD7FF957,19-Jan,1100,300,GRASS,,
750D0831-5A67-4F74-9B29-B8E91687E946,22-Apr,850,300,TURF+GRVL,,
2CE0B4FF-84F1-4FF9-8546-7DD3034FFF4B,19-Jan,1200,300,GRAVE,,
F45C649D-AFA1-4FF9-B8CD-8C3AD4EB3501,24-Jun,1300,300,GRASS,,
37077D0B-387C-435D-B4A1-72EF1230F2EA,25-Jul,2450,70,GRAVE,2,LIM
BEAADED7-042C-4D08-BABA-40C8ABCF23C3,H1,50,50,CONC,,
0AFC0B69-4815-4AD9-8F6B-09ED873CE882,27-Sep,1000,300,GRASS,,
62BE96A0-3EE2-407B-9B92-597396EDA2B8,22-Apr,1200,300,GRAVE,,
AA4012D1-562F-4CC1-930B-DE89BE3E772D,15/33,1200,300,GRAVE,,
C1DD88FC-CDF5-4C43-9CE2-803255FFC838,01W/19W,5000,300,WATER,,
6DB30DD8-A40B-4DA5-B00A-E27580FD1838,H1,20,20,WOOD,,
3F695548-75AF-49C7-ABDF-D1FDDE6217F5,H1,50,50,MATS,,
314657B6-F401-4525-B807-D307548836E1,25-Jul,1100,300,GRASS,,
331F66E5-3241-47F3-AF42-415E684F9BB3,ALL/WAY,1200,300,WATER,,
7C919E0F-BCF5-4AE8-B4EB-EC4C3C14D9F0,25-Jul,4200,300,GRAVE,,
C9BDC2A5-41C7-4E4D-8BD3-C452513D5D67,16/34,4000,75,GRAVE,2,LIM
C575EA73-B3E7-4996-A22C-F27DEABC8FD7,02L/20R,4010,100,ASPH,2,LIM
C575EA73-B3E7-4996-A22C-F27DEABC8FD7,02R/20L,1800,50,ASP+GRVL,2,
65BDE39C-3F11-4DC1-BEA4-E58DD43FB8A5,14/32,2250,300,TURF+GRVL,,
7EC44058-5626-4088-8B0F-0417876F10FD,22-Apr,2612,300,GRAVE,,
1E2CEB56-A6F1-47FF-8850-BE0C2B39C08E,23-May,2325,300,GRAVE,,
7AFC36AA-F7C4-40F9-B736-80562DB49E7E,30-Dec,2990,100,GRAVE,2,LIM
12253DDC-A180-4E3D-BB8D-E469AF0F2742,17/35,1220,300,GRAVE,,
029F7803-E398-4739-AEBD-37A5B860FC89,29-Nov,3200,75,GRAVE,2,LIM
3DFABA4C-A123-4944-A701-163F4D27697A,20-Feb,3880,300,GRAVE,,
35CA1787-220D-4EFE-B589-AE0DA83D7531,22-Apr,2080,300,TURF+DIRT,,
EFD429FB-A9AF-493B-B1E4-AEA68E876641,20-Feb,2095,300,GRAVE,,
C350A034-F637-421C-BF32-F4B21D99F17A,H1,70,70,WOOD,,
3AD26E73-ADE5-42F7-9564-F1FDC35729AD,NW/SE,10000,300,WATER,,
4845936A-650E-418C-9ABF-64B2A31CC137,20-Feb,3955,135,GRAVE,0,
A22B6739-7E08-4C6B-ABC5-4A48C09F74B1,24-Jun,1900,300,GRAVE,,
A22B6739-7E08-4C6B-ABC5-4A48C09F74B1,16/34,3500,300,GRAVE,,
6D6B49A8-7542-4CFC-9B17-AE1246F23D14,H1,50,50,WOOD,,
